,movieId,title,genre,year,writer,director,cast,rating,runtimes,countries,languages,production companies
10,11,"American President, The (1995)","Comedy,Drama,Romance",1995.0,"Aaron Sorkin,","Rob Reiner,","Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Anne Haney,Richard Dreyfuss,Nina Siemaszko,Wendie Malick,Beau Billingslea,Gail Strickland,Joshua Malina,Clement von Franckenstein,Efrat Lavie,John Mahoney,Taylor Nichols,John Mahon,Tom Dahlgren,Ralph Meyering Jr.,Kurt Boesen,Joseph Latimore,Darryl Alan Reed,Andrew Steel,Jordan Lund,Richard McGonagle,Frank Cavestani,Richard Stahl,Alice Kushida,Renee Faia,Beans Morocco,Kathryn Ish,Kamilah Martin,Augie Blunt,Thom Barry,Steve Gonzales,Gabriel Jarret,Karen Maruyama,Nancy Kandal,George Murdock,Bernie McInerney,Jack Gilroy,Matthew Saks,Googy Gress,Ron Canada,Brian Pietro,Rick Garcia,Aaron Sorkin,Kymberly Newberry,Greg Poland,Jennifer Crystal Foley,Arthur Senzy,Nick Toth,Jorge Noa,Maud Winchester,Jeffrey Anderson,Suzanne Michaels,Mark Thompson,David Drew Gallagher,Todd Odom,Michael G. Alexander,Leslie Bega,Anthony Backman,Jan Citron,Arthur Eckdahl,Roger Ferreira,Jill Gable,Matt Gulbranson,Ralph Moratz,Mark Norris,Roger Steffens,Helen Thomas,Ray Uhler,",6.8,114,"USA,","English,French,","Universal Pictures,Castle Rock Entertainment,Wildwood Enterprises,Columbia Pictures Corporation,Digital Image Associates,"
11,12,Dracula: Dead and Loving It (1995),"Comedy,Fantasy,Horror",1995.0,"Mel Brooks,Rudy De Luca,Steve Haberman,Rudy De Luca,Steve Haberman,Bram Stoker,","Mel Brooks,","Leslie Nielsen,Peter MacNicol,Steven Weber,Amy Yasbeck,Lysette Anthony,Harvey Korman,Mel Brooks,Mark Blankfield,Megan Cavanagh,Clive Revill,Chuck McCann,Avery Schreiber,Cherie Franklin,Ezio Greggio,Leslie S. Sachs,Matthew Porretta,Rudy De Luca,Jennifer Crystal Foley,Darla Haun,Karen Roe,Charlie Callas,Phillip Connery,Tony Griffin,Casey King,Nicholas Rempel,Zale Kessler,Barbaree Earl Nielsen,Maura Nielsen Kaplan,Thea Nielsen Disney,Robin Shepard,Elaine Ballace,Maud Winchester,Gregg Binkley,Lisa Cordray,Cindy Marshall-Day,Ben Livingston,Anne Bancroft,David DeLuise,Ric Coy,Tommy Koenig,Michael Connors,Grinnell Morris,Stephen Wolfe Smith,Vince Grant,Richard Allen Stewart,Brad Grunberg,Carol Arthur,Derek Mark Lochran,Sonje Fortag,Ira Miller,Henry Kaiser,Kathleen Kane,Loraine Shields,David Savoy,Sharon Savoy,Audrey K. Baranishyn,Delores Nemiro,Jeffrey Broadhurst,Jim Peace,Kevin Crawford,Jodi Peterson,John Frayer,Dennon Rawles,Sandi Johnson,Sandy Rovetta,Shirley Kirkes,Alton Ruff,Manette LaChance,Blane Savage,Stan Mazin,Ted Sprague,Patricia McFarlin-Mattson,Jude Van Wormer,Anne McVey,Allen Walls,Kat Jensen,",5.8,88,"USA,France,","English,German,","Gaumont,Castle Rock Entertainment,Brooksfilms,"
12,13,Balto (1995),"Animation,Adventure,Drama,Family,History",1995.0,"Cliff Ruby,Elana Lesser,David Steven Cohen,Roger S.H. Schulman,","Simon Wells,","Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins,Jack Angel,Danny Mann,Robbie Rist,Juliette Brewer,Sandra Dickinson,Miriam Margolyes,Lola Bates-Campbell,Donald Sinden,William Roberts,Garrick Hagon,Bill Bailey,Big Al,Michael McShane,Austin Tichenor,Reed Martin,Adam Long,Sam Bacco,Jennifer Blanc-Biehn,Holly Burt,Jim Carter,Christine Cavanaugh,Tina Clark,Nathan DiGesare,Joel Dunham,Katy Dunham,Emily Estes,Bonnie Keen,Chris Rodriguez,Michael Shannon,Chester Thompson,Frank Welker,Micah Wilshire,Steve Winwood,",7.1,USA:78,"USA,","English,","Amblimation,Amblin Entertainment,Universal Pictures,"
13,14,Nixon (1995),"Biography,Drama,History",1995.0,"Stephen J. Rivele,Christopher Wilkinson,Oliver Stone,","Oliver Stone,","Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen,J.T. Walsh,James Woods,Brian Bedford,Kevin Dunn,Fyvush Finkel,Annabeth Gish,Tom Bower,Tony Goldwyn,Larry Hagman,Edward Herrmann,Madeline Kahn,Dan Hedaya,Tony Lo Bianco,Saul Rubinek,Robert Beltran,John Cunningham,John Diehl,John C. McGinley,Michael Chiklis,David Barry Gray,Joanna Going,George Plimpton,Lenny Vullo,Corey Carrier,Ronald von Klaussen,John Bedford Lloyd,Kamar Reyes de los,Enrique Castillo,James Pickens Jr.,Victor Rivers,Bridgette Wilson-Sampras,Drew Snyder,Ric Young,Sean Stone,Joshua Preston,Ian Calip,Jack Wallace,Julie Condra,Annette Helde,Howard Platt,T.J. Kennedy,Harry S. Murphy,Suzanne Schnulle Murphy,Michael Kaufman,Pamela Dickerson,O'Neal Compton,Chris Renna,Wilson Cruz,Mikey Stone,Robert Marshall,Marley Shelton,James Karen,Richard Fancy,Peter Carlin,Michelle Krusiec,Wass Stevens,Tom Nicoletti,Chuck Pfeiffer,Alexander Butterfield,Mark Steines,Bai Ling,Peter P. Starson Jr.,Jon Tenney,Julie Araskog,Ray Wills,John Bellucci,Zoey Zimmerman,Mary Rudolph,Clayton Townsend,Donna Dixon,John Stockwell,Charles Haugk,Boris Sichkin,Fima Noveck,Raissa Danilova,Marilyn Rockafellow,Bill Bolender,Melinda Renna,Tony Plana,Dean Acheson,Salvador Allende,Robert Bork,Arthur Bremer,David Brinkley,Edmund G. Brown,Barbara Bush,George Bush,Jimmy Carter,Rosalynn Carter,Fidel Castro,Whittaker Chambers,Winston Churchill,Jan Citron,Bill Clinton,Hillary Clinton,Nellie Connally,Archibald Cox,Edward Cox,Bob Dole,Dwight D. Eisenhower,Mamie Eisenhower,Daniel Ellsberg,Sam Ervin,Betty Ford,Gerald Ford,Helen Gahagan,Robert Goldman,Angie Gray,Michael Haddad,Richard Helms,Alger Hiss,J. Edgar Hoover,Lyndon Johnson,John Kennedy Jr.,Eunice Kennedy Shriver,Caroline Kennedy,Ethel Kennedy,Jacqueline Kennedy,John F. Kennedy,Robert F. Kennedy,Ted Kennedy,Nikita Khrushchev,King George VI,Martin Luther King,Albert Leon,Dave Mallow,Zedong Mao,Joseph McCarthy,George McGovern,Robert McNamara,Darren Melton,Nicole Nagel,Pat Nixon,Richard Nixon,Tricia Nixon,J. Robert Oppenheimer,Lee Harvey Oswald,Shah Mohammad Reza Pahlavi,Michael Pasby,Nancy Reagan,Ronald Reagan,Elliot Richardson,Eleanor Roosevelt,Franklin D. Roosevelt,Ethel Rosenberg,Julius Rosenberg,William Ruckelshaus,Adlai Stevenson,Oliver Stone,Robert Taylor,Harry S. Truman,George Wallace,Dana Walsh,Earl Warren,Breck Wilson,",7.1,192,"USA,","English,Mandarin,Russian,","Cinergi Pictures Entertainment,Hollywood Pictures,Illusion Entertainment,"
14,15,Cutthroat Island (1995),"Action,Adventure,Comedy",1995.0,"Michael Frost Beckner,James Gorman,Bruce A. Evans,Raynold Gideon,Robert King,Marc Norman,","Renny Harlin,","Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs,Harris Yulin,Carl Chase,Peter Geeves,Angus Wright,Ken Bones,Mary Pegler,Mary Peach,Lucinda Clare,Thomas Lockyer,Roger Booth,George Murcell,Simon Atherton,Dickey Beer,Christopher Halliday,Chris Johnston,Richard Leaf,Tam White,Shayna the Monkey,Rupert Vansittart,Nick Bartlett,David Bailie,Kwame Kwei-Armah,Ramon Tikaram,Christopher Adamson,Thor,Jamie Donovan,Finster,Renny Harlin,Daragh O'Malley,Mark Vasconcellos,",5.6,124,"USA,France,Italy,Germany,","English,","Beckner/Gorman Productions,Canal+,Carolco Pictures,Cutthroat Productions,Forge,Guild,Laurence Mark Productions,Metro-Goldwyn-Mayer,RCS Video,Tele-Communications Inc.,"
15,16,Casino (1995),"Biography,Crime,Drama",1995.0,"Nicholas Pileggi,Nicholas Pileggi,Martin Scorsese,","Martin Scorsese,","Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent,John Bloom,Pasquale Cajano,Melissa Prophet,Bill Allison,Vinny Vella,Philip Suriano,Erika von Tagen,Frankie Avalon,Steve Allen,Jayne Meadows,Jerry Vale,Joseph Rigano,Catherine Scorsese,Oscar Goodman,Gene Ruffini,Dominick Grieco,Richard Amalfitano,Richard F. Strafella,Casper Molee,David Leavitt,Peter Conti,Cathy Scorsese,Steve Vignari,Rick Crachy,Larry E. Nadler,Paul Herman,Salvatore Petrillo,Joey DePinto,Heidi Keller,Millicent Sheridan,Nobu Matsuhisa,Toru Nagai,Charlene Hunter,Dom Angelo,Joe Molinaro,Ali Pirouzkar,Frankie J. Allison,Jeff Scott Anderson,Jennifer M. Abbott,Frank Washko Jr.,Christian A. Azzinaro,Robert C. Tetzlaff,Anthony Russell,Carol Wilson,Joe Lacoco,John Manca,Ronald Maccone,Buck Stephens,Joseph P. Reidy,Joe La Due,Fred Smith,Sonny D'Angelo,Greg Anderson,Stuart Nisbet,Tommy DeVito,Frank Adonis,Joseph Bono,Craig Vincent,Daniel P. Conte,Paul Dottore,Richard T. Smith,David Rose,Jonathan Kraft,Michael McKensie Pratt,Patti James,Ruth Gillis,Carol Cardwell,Dean Casper,Nan Brennan,Karyn Amalfitano,C.C. Carr,David Varriale,Darla House,Carol Krolick,Frank Regich,Herb Schwartz,Max Raven,Clem Caserta,Jed Mills,Janet Denti,Cameron Milzer,Leain Vashon,Jim Morgan Williams,Brian Le Baron,Mortiki Yerushalmi,Mufid M. Khoury,Khosrow Abrishami,Richard Riehle,Mike Maines,Bobby Hitt,Shellee Renee,Alfred Nittoli,Carl Ciarfalio,Jack Orend,Linda Perri,Ffolliott Le Coque,J. Charles Thompson,Michael Paskevich,Mike Weatherford,Eric Randall,Gwen Castaldi,Brian Reddy,Roy Conrad,Mike Bradley,Dave Courvoisier,George Comando,Andy Jarrell,Robert B. Sidell,Tyde Kierney,Paige Novodor,Claudia Haro,Sasha Semenoff,Gil Dova,George W. Allf,Madeline Parquette,Nick Mazzola,Jed L. Hansen,Gino Bertin,Mitch Kolpan,Csaba Maczala,Peter Sugden,Rudy Guerrero,Randy Sutton,Jeff Corbin,Sly Smith,Joe Anastasi,F. Marcus Casper,Jeffery Azzinaro,Richard Wagner,Carrie Cipollini,Loren Stevens,Gary C. Rainey,David Arcerio,Haven Earle Haley,Sam Wilson,Michael Toney,Jeff Burbank,Phillip V. Caruso,Earl Chaney,Frank Cullotta,Billy Gilbride,Alfonso Gomez-Rejon,Andrea Kelly,Walter Ludwig,Bobbie Paulson,Bob Pepper,Steve Schirripa,Charles Scorsese,Constance Tillotson,Carlos Alberto Vazquez,Dick Warlock,",8.2,178,"USA,France,","English,","Universal Pictures,Syalis DA,Légende Entreprises,De Fina-Cappa,GGG,"
16,17,Sense and Sensibility (1995),"Drama,Romance",1995.0,"Jane Austen,Emma Thompson,","Ang Lee,","James Fleet,Tom Wilkinson,Harriet Walter,Kate Winslet,Emma Thompson,Gemma Jones,Hugh Grant,Emilie François,Elizabeth Spriggs,Robert Hardy,Ian Brimble,Isabelle Amyes,Alan Rickman,Greg Wise,Alexander John,Imelda Staunton,Imogen Stubbs,Hugh Laurie,Allan Mitchell,Josephine Gradwell,Richard Lumsden,Lone Vidahl,Oliver Ford Davies,Eleanor McCready,Kenneth W Caravan,Lindsay Doran,Chris Trott,",7.7,136,"USA,UK,","English,French,","Columbia Pictures Corporation,Mirage Enterprises,"
17,18,Four Rooms (1995),Comedy,1995.0,"Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino,","Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino,","Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals,David Proval,Antonio Banderas,Lana McKissack,Patricia Vonne,Tamlyn Tomita,Danny Verduzco,Salma Hayek,Paul Calderon,Quentin Tarantino,Lawrence Bender,Kathy Griffin,Quinn Thomas Hellerman,Marc Lawrence,Unruly Julie McClean,Laura Rush,Paul Skemp,Marisa Tomei,Tim Roth,Monica Lee Bellais,Kimberly Blair,Russell Vossler,Bruce Willis,",6.7,98,"USA,","English,","Miramax,A Band Apart,"
18,19,Ace Ventura: When Nature Calls (1995),"Adventure,Comedy,Crime",1995.0,"Jack Bernstein,Steve Oedekerk,","Steve Oedekerk,","Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Motoana Phillips,Damon Standifer,Andrew Steel,Bruce Spence,Tom Grunke,Arsenio 'Sonny' Trinidad,Kristin Norton,Michael Reid MacKay,Kayla Allen,Ken Kirzinger,Dev Kennedy,Patti Tippo,Sabrinah Christie,Warren Sroka,Luke Benko,Stacie Johnsen,Patrick Michael Strange,Leif Tilden,Gene Williams,",6.3,90,"USA,","English,","Morgan Creek Productions,O Entertainment,"
19,20,Money Train (1995),"Action,Comedy,Crime,Drama,Thriller",1995.0,"Doug Richardson,Doug Richardson,David Loughery,","Joseph Ruben,","Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez,Vincent Patrick,Aida Turturro,Alvaleta Guess,Vincent Pastore,David Tawil,Ron Ryan,Gregory McKinney,Mitch Kolpan,Jeremy Roberts,John Norman Thomas,Oni Faida Lampley,Jack O'Connell,Saul Stein,Manny Siverio,John Cenatiempo,Enrico Colantoni,Christopher Anthony Young,Dean Norris,Richard Grove,Steven Randazzo,William Charlton,Moss Porter,Keith Leon Williams,José Zúñiga,Thomas G. Waites,Leikili Mark,Kevin Guy Brown,Bill Nunn,Sharon Schaffer,Angel Caban,Joe Bacino,Jose Soto,Lawrence Gilliard Jr.,Flex Alexander,Michael Artura,Mark Weil,Joseph Wilson Ayesu,Katie Gill,Cody Gill,Anthony Backman,Greg Bronson,John Bryant,Catherine Dudley-Rose,Harrison Freed,Patricia Holihan,Kent Klineman,Marshall Dancing Elk Lucas,Scott McKinley,Cynthia Posner,Windi Washington,",5.6,110,"USA,","English,","Columbia Pictures,Peters Entertainment,"
